candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],sigma_x,sigma_y,del_sigma_x,del_sigma_y,p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
470,40692.157443797005,46346.19262088684,61.45344824300422,70.49611090022846,355.07975703396966,390.2508624280865,106.86748425343636,110.59180867722192,2,78823.73339651474,1908.5010039897404,258,19,16,925.1310000000149,78383
472,40281.9646380695,40041.37778022835,7.824989127534821,13.905522391100488,52.90041567894592,94.0228598541164,14.017508012423583,15.707607732957676,2,99112.59058333334,49.55135453153652,36,3,7,339.6610000000149,98672
473,40341.63148963084,40813.355801886835,9.07091317981985,43.784096940999284,64.41470820332167,209.2503768655105,19.15716507969077,67.501503817936,2,50446.704488474694,10913.52421957116,49,4,7,190.304,50006
474,40323.58717010457,41005.983947544664,11.67181806773906,15.65926993305438,86.77208611350414,130.15930050977812,14.172843426363663,19.48129855482788,2,99114.37952173915,82.40985819188067,65,4,9,475.956,98673
475,40337.38005485603,41760.43367828315,7.564220168830746,7.8476521978322396,83.77468958503772,92.4692944104822,8.03008745121113,7.958665708358376,2,96214.43180952381,103.90074640165314,80,5,10,529.187,95773
476,40334.26673916704,46311.07021141303,17.334968946627804,76.60865301884633,56.4342147902292,202.04262053557835,15.556737196723686,104.83089470237472,2,86180.66218382891,707.0821475079254,43,13,7,298.90500000000003,85740
477,40352.690644011214,40399.311708625435,16.84307300898288,9.06875283920592,61.92762713503428,49.15409579783649,19.457507255252107,6.4846316047319865,2,58986.25109657685,10027.324348145507,43,3,9,251.398,58545
479,41326.77965044081,46291.76730806829,28.96412759831243,9.465721024498674,165.07791103925047,53.630998247364296,26.48350712353649,9.892768365304873,2,85206.49327627722,2082.9886777701317,125,16,15,578.229,84765
481,41351.04980747362,46153.02641205952,10.616353925624347,6.290028448800264,91.16302915473433,53.88447183691788,9.647505841477148,4.978237726680284,2,55269.286439463474,274.688044642003,59,17,8,433.068,54828
482,41638.79584516425,46335.57962896597,43.615517800242536,11.981923616995893,343.78831735520924,95.41788937259841,42.29377331665607,11.488407537066736,2,61477.65577769638,6.769581680619924,275,20,16,761.8350000000074,61037
484,41190.118110266194,46527.92123913516,7.579774211466357,7.964148821174827,99.6839819996056,104.15693016975665,7.069965112841703,7.532503234625162,2,90500.72544985179,137.09842154493924,100,13,11,618.1309999999851,90060
486,41889.655873239564,46407.767544434166,14.330606054595009,7.236646677382227,104.79591571520089,52.0924546172284,12.938339252279366,5.516856510806268,2,87078.58453945658,415.4362106805942,278,15,14,990.0770000000149,86638
487,41622.22020584351,40025.54496183674,11.263760489163223,16.513063216763676,69.30366678948674,101.73370888798375,10.406368766407182,15.286388234741231,2,78591.40098485541,39.68826906258447,109,10,12,580.376,78150
488,41332.903665225924,46744.65705664722,5.322331158318418,9.490013305472788,54.454057696135706,95.01389982438943,5.503084624226926,9.325491934181072,2,69909.873875,73.28946098593832,40,8,9,418.333,69469
490,41669.03644825882,40315.332079665306,14.646910432183889,18.174323760303363,189.5504897948335,244.01908196431606,17.838663958837266,22.76873765282632,2,59721.49369329951,399.8824607629614,202,11,17,550.732,59280
